id,date,text
16,2015.04.16,一般財団法人建築保全センターは、地方公共団体の保有する施設保全情報を一元的に管理し、保全業務や総合的な施設計画を支援するBIMMSを展開している。自治体FMの先駆者である青森県をはじめとする42の都道府県・政令市、40の市区町村の計82の多数の自治体が、施設の保全・マネジメントの実施に活用している（2015年3月現在）。BIMMSとは、Building Information system for Maintenance & Management Supportの略で、利用者は、インターネットからアプリケーションを利用できる。建物を運用し保全を行う財産管理者や施設管理者の情報、工事を担当する営繕部門の情報を一元管理することで、地方公共団体全体の既存施設の有効活用や意思決定の支援を可能にする。BIMMSは、2002年度の全国営繕主管課長会議の付託事項として、システムの検討が始まり、
17,2015.04.16,一般社団法人日本建設業連合会（以下、日建連）の建築生産委員会の部会である、IT推進部会では、IT活用による総合的な建築生産の効率化を目的に、IT活用の推進策、建築産業界に共通する課題の整理、生産情報の共通化・標準化などの検討を行っている。IT推進部会には、4つの傘下専門部会があり、その専門部会の1つがBIM専門部会である。BIMを有効活用するには、ゼネコン・専門工事会社・BIMソフトベンダーが連携して、施工段階のBIMの仕様と利用方法の標準化を推進する必要がある。BIM専門部会は、その推進のため、日建連の会員各社と専門工事会社との連絡をとり、関連諸団体とともに業界標準化を推進し、施工段階でのBIM活用のメリットの増大を図ることを目的に活動を進めている。
18,2015.04.16,米国グリーンビルディング協会（USGBC）のロジャー・プラット代表は3月に来日し、建物環境性能評価システム「LEED」の日本語版の制作に着手すると発表した。LEEDの21種類の認証システムのうち、「新築」と「内装」の2つのシステム概要と専門資格「LEED Green Associate」の受験要綱と試験を年内に日本語化し、段階的に分野や上位の資格試験についても日本語化していく方針だ。日本では、建築環境・省エネルギー機構(IBEC)が運営するCASBEE（建築環境総合性能評価システム）が活用されているが、プラット代表は、CASBEEについても触れ、「目的は同じであり良い点がたくさんある。CASBEE認証を取得した建物をGBIG(USGBCのデータベース)に掲載し、同様に評価するといったことが考えられる」と述べ、LEEDとCASBEEの何らかの連携をさせたいとしている。
19,2015.04.16,国土交通省 関東地方整備局は、2015年度に基本設計に着手する土浦労働総合庁舎において、3件目となるBIM導入プロジェクトを実施する。関東地方整備局がこれまでにBIM導入を設定したのは、新宿労働総合庁舎と前橋地方合同庁舎の2件で、設計や施工段階でのBIMモデル活用についての検証が行われた。今回のプロジェクトは、維持管理に必要な情報をBIMモデルで検証することが主題。設計や施工段階で作成したデータから維持管理に必要な情報を抽出し、維持管理用BIMモデルを構築の上、必要な情報や機能などを検証する方針だ。「土浦労働総合庁舎外（15）設計業務」では、基本・実施設計自体のBIM化は指定していないが、維持管理情報を作成するために必要なBIMモデルの作成を求めている。同案件は、公募型プロポーザル方式で、参加表明書の申請は4月10日に締め切っている。技術提案書の提出期限は6月1日で、履行期間は7月中旬から2016年3月30日までの予定だ。
20,2015.04.16,"公益社団法人日本ファシリティマネジメント協会(以下、JFMA)は、「ファシリティマネジャーのためのBIM活用ガイドブック」を4月30日に発行する。同書はJFMAのBIM・FM研究部会が、約2年をかけてまとめた、200ページにも及ぶ力作だ。内容は、BIMとは何かのわかりやすい解説から始まり、FMへのBIMの効果、BIM・FMの国内外の先進事例、FMでBIMを活用するためのポイント、そして、BIMを活用したFMにおける6つの新しいビジネスモデルの提案など、魅力的な情報が満載の一冊だ。ファシリティマネジャーはもちろん、設計や施工などでBIMを活用している人、さらに建築主やBIMを未導入の設計事務所・建設会社の人にも大変参考となる内容となっている。発売は4月30日の予定で、価格は3,000円(JFMA会員は2,500円／いずれも税別・送料別)。同書のさらに詳しい情報は、近日、クローズアップで紹介する。"
21,2015.04.16,建築×コンピュテーションのポータルサイト『ArchiFuture Web』が4月16日にオープンした。「ヘッドライン」「マガジン」「ファインダー」の3つのカテゴリーで構成され、「コラム」「団体トレンド」「クローズアップ」など多数の独自コンテンツを揃え、「最新10行ニュース」「イベント・セミナー情報」などの多彩な内容を盛り込んでいる。コラムの『ArchiFuture’s Eye』は、ArchiFuture 実行委員会のメンバーが建築分野の今後の方向性や新しいコンピュテーション活用の可能性など、独自の視点を紹介する連載記事となっている。また、「最新10行ニュース」「団体トレンド」では、幅広い人的ネットワークを活かした情報収集によるArchiFutureならではの記事もオープン日に多数掲載している。ArchiFuture Webでは、今後も建築×コンピュテーションに関連する有効な情報を提供するとともに、ArchiFutureならではの多様な情報を発信していく。
22,2015.04.17,"一般財団法人建築保全センターは、本年秋に「BIMライブラリーコンソーシアム(仮称)」を設立すると発表した。同コンソーシアムは、産官学の幅広い団体、企業、大学などへの呼びかけを予定しており、設立から2年後をめどにBIMライブラリーの構築を目指すとしている。建築保全センターは、BIMライブラリーの構築の足がかりとして、建設業振興基金が運営してきた設計製造情報化評議会(C-CADEC)の成果物である、機器ライブラリー「Stem」と建築設備CAD間で使用されている部品属性を伴ったCADデータ交換仕様である「BE-Bridge」を引き継ぐ調印式を4月14日に行った。機器ライブラリー「Stem」には、空調機器だけでもすでに66,833件の登録があるという。同コンソーシアムでは、「Stem」のほかに、建具をはじめとする建材などのライブラリーの新たな構築を図り、2017年末頃をめどに、BIMライブラリーの構築を進める予定だ。"
24,2015.04.20,戸田建設は、施工中に発生するCO2排出量の削減を強化するため、同社の「TO-MINICA（低炭素施工システム）」をWeb版に改良した。同システムは、建設作業所が施工中に排出するCO2量を事前に計算し、これに対して削減計画を立案、実行し、結果をエネルギーデータとして収集するシステム。従来のシステムでは、データ入力をすべて作業所のPCで同社の社員が行っていた。Web上でのデータ入力を可能にすることで、PCのほか、タブレット、スマートフォンによる入力が可能になり、同社だけでなく、協力会社もメンバーの一員としてデータ入力を行えるようになった。そのため、インプットに関わる作業時間の約55%削減が可能としている。同社では同システムを1年後には全国の作業所約140ヵ所に展開する予定で、CO2排出削減活動を強化する方針だ。
25,2015.04.21,清水建設は、同社が設計施工するS造の鉄骨製作図の作成から鉄骨工事までをBIM活用により一貫管理し、効率化・内製化する鉄骨エンジニアリング体制を確立した。同体制の確立は、同社と関係会社の鉄骨ファブリケーター・片山ストラテックのノウハウを融合させ、BIMに構造図の特記仕様を入力することで、BIMがスリーブの径、位置、補強方法の構造的妥当性を判断できるシステムの開発に成功したことが大きく寄与しているという。従来の作業では、データ連動による作業の効率化と、数ヵ月を要する鉄骨納期を補うために鉄骨作成図の作成時期の前倒しが課題だったが、同システムにより、大規模物件では最大5～6カ月程度、鉄骨製作着手時期の大幅な前倒しが可能になるという。同社は今年度から、大規模物件を中心に、年間累計で20万t程度の鉄骨の集中管理を目指すとともに、鉄骨製作時期の大幅な前倒しにより鉄骨の安定供給を図っていく方針だ。
26,2015.04.22,一般社団法人日本建築学会は、2015年日本建築学会賞を4月21日に発表した。大賞には「シェル・空間構造の設計法の確立と構造に基づく建築デザインに関する貢献」により川口衞氏(法政大学名誉教授)、「日本住宅史学に関する研究・教育と建築文化財の保全に対する顕著な貢献」により平井聖氏(東京工業大学名誉教授・昭和女子大学特任教授)がそれぞれ受賞した。また、注目の学会賞(作品)は、「上州富岡駅」の武井誠氏と鍋島千恵氏(いずれもTNA)、「木の構築　工学院大学弓道場・ボクシング場」の福島加津也氏と冨永祥子氏(いずれも福島加津也+冨永祥子建築設計事務所)の2作品が受賞した。「上州富岡駅」は、駅舎という建築形式の持つ意味を改めて考えさせる建築であるという点などが評価を受け、「木の構築　工学院大学弓道場・ボクシング場」は木造の原点をわれわれに再考させる力を持っている点などが評価を受けての受賞となった。
27,2015.04.24,一般社団法人 IAI日本は、9月頃に開催される予定のBIMを活用したバーチャル設計コンペティション「Build Live Japan 2015（以下、BLJ2015）」の開催に先立ち、課題敷地に決定した大分県杵築市の「公式現地見学会」を6月13日(土)に行うと発表した。杵築市は城下町で、南北の高台の武家屋敷や中心商店街の古い商家など、これらが織り成す建物群は、建築の観点からも多くの人を魅了してきたが、いまは空き地が目立っている。IAI日本は、同見学会に参加し、杵築市の歴史的な景観や課題敷地を実際に確認することによって、「城下町のほかの建物と調和して新たな魅力を打ち出す建物のイメージが見えてくるのでは」としている。また、同見学会は、現地の見学や主催者からのコンペ概要の説明を行うとともに、BLJ2015に興味を持つ学生や企業も集まる予定のため、その場でチームを結成するための時間も提供され
28,2015.04.24,ミサワホームは、ミサワホーム総合研究所およびKDDIと共同開発した、戸建住宅専用の地震発生時の被災度判定計「GAINET（ガイネット）」を、4月下旬から発売する。「GAINET」は、住宅の基礎部分に設置する計測部で計測した地震波をもとに、リアルタイム震度と建物および地盤の被災度ランクを表示し、音と連動して警告するシステム。同システムにより、住宅オーナーは自宅に留まるか避難するかの判断の参考にすることが可能となる。また、測定された震度や建物の被災度などのデータは、LTEネットワークを経由して瞬時にクラウドサーバに集約されるため、同社住宅オーナーの全国の建物ごとの被災度を短期間に把握し、建物の緊急度に応じたオーナーサポートを行えるという。今後、同グループとKDDIは、LTEネットワークやクラウドなどを生かしたさまざまな情報収集・分析の可能性を探り、利便性の高いサービスの提供を検討していく方針だ。
30,2015.04.27,公益社団法人日本ファシリティマネジメント協会(以下、JFMA)は、4月30日に発行する「ファシリティマネジャーのためのBIM活用ガイドブック」の出版記念シンポジウムを5月20日(水)に開催する。同書はJFMAのBIM・FM研究部会が、約2年をかけて「BIMデータのFMへの活用」のポイントなどをまとめた待望の一冊。シンポジウムは、FMとBIMとの関係、FMでBIMを活用することのメリットや可能性などについて、わかりやすく解説している同書の主な執筆者によるガイドブックの解説とパネルディスカッションで構成されている。
31,2015.04.30,"一般財団法人建設業振興基金は、機器ライブラリー「Stem」のStem2D 版サイトを5月1日より新サイト「Stem2D/3D統合版」に移行する。「Stem」は、建設業振興基金が運営している機器ライブラリーのデータ配信サービスで、現状で機械設備機器の登録が68,000点以上、電気設備機器の登録が16,000点以上ある。当サイトで既報のとおり、機器ライブラリー「Stem」の活動は、建築保全センターが引き継いでいくが、この新サイトは建設業振興基金が最長で3年間運営を継続する予定だ。今回の移行に伴い、現在登録済みの会員情報は一旦すべて削除し、5月1日以降に初めて利用する際に、改めて会員登録が必要となる。新サイトの利用は無料だ。なお、3Dデータはテスト用評価データのみとなっている。移行作業は5月1日の8時～13時に行うため、新サイトの会員登録および利用は、5月1日13時以降からとなる見込みだ。"
32,2015.05.01,一般社団法人照明学会は、平成27年度(第48回) 照明学会全国大会を8月27日(木)～29日(土)に開催する。照明学会は、1916年に創立され、我が国における照明技術の発展や照明知識の普及に大きな貢献を果たしている。現在も、照明や視覚、光放射、オプトエレクトロニクス、建築と視環境、光とバイオニクスなど、光に関するハード・ソフト・デザインの幅広い分野で研究・調査・情報交換・研究助成を行っている。照明学会全国大会は原則として年1回開催され、会員の論文発表、シンポジウム、講演、懇親会などを行っており、第48回となる今年度の同大会は、福井県での開催となる。会場は、講演会場が福井大学で、式典や特別講演などが福井県県民ホール、情報交流会がユアーズホテルフクイで行われる。講演は、照明デザインや照明理論など幅広いテーマの発表が予定さ
33,2015.05.07,安井建築設計事務所は、現在すでにBIM-FMの推進フェーズに入っており、同社が設計した加賀電子本社ビルにおいて、BIM-FMを実践している。同社が竣工図を基にBIM-FMデータを整理し、建築情報マネジメントシステム（開発/熊本大学大西研究室）を使用して、ALSOKが建物機器情報などの管理を行っている。これらはインターネット経由によるPCでのローカル管理のほか、スマートフォンを使用した手元管理も実現した。同社では、さらに、環境センサーを活用した温湿度状態管理によるエネルギー管理や、複数かつ遠隔地の維持管理支援などの効率的なビルマネジメントに加え、LCCの低減や省エネルギー化の実現も視野に入れている。今後は開発レベルをもう一段上げ、新規・既存建物におけるBIM-FM化によるメンテナンス費用削減メリットや収益性の整理をすることで、BIM-プロパティマネジメントへ展開を拡大する考えだ。
34,2015.05.11,一般社団法人日本建築学会 情報システム技術委員会・スマート建築モニタリング応用小委員会は、「第2回ゼロエネルギー建築と知的環境シンポジウム」を5月15日(金)に開催する。スマート建築モニタリング応用小委員会では、建築構造物の計画、設計、施工、運用、維持管理などの各段階で、建築をモニタリングする情報システムに関して研究を行いながら、センシング技術の普及・展開を進めている。3・11以降、建築を対象としたエネルギーモニタリングが注目され、省エネルギーを目的とした取り組みが活発化している。将来的にはゼロエネルギー建築の実現が求められ、普及のためにはエネルギー消費量の観点だけでなく、快適さや個人個人に合った知的環境の創造が必要であり、より先進的な情報通信技術の応用が必須だという。このような背景から、一般社団法人電子情報通信学会の「知的環境とセンサネットワーク研究会」
35,2015.05.11,デジタル建築・都市設計技術に関する国際会議「CAADRIA2015」が、5月20日～23日の日程で、韓国の大邱で開催される。CAADRIAは、1996年から毎年アジア各国の持ち回りで開催され、今回の開催が20回目となる。毎回世界各国から数百名規模の研究者、実務者、学生が参加している。前回は日本がホスト国となり、京都で開催され、過去最高の26ヵ国から230名以上の研究者、実務者、学生などが参加した。今回の同会議は、カリフォルニア大学バークレー校のYehuda E. Kalay氏をはじめとする著名な研究者による基調講演や、各国の研究者、実務者などによる研究発表、ワークショップなどで構成され、参加費は有料となっている。同会議の詳しい情報と申し込み方法は、CAADRIA2015のWebサイトに掲載されている。
36,2015.05.13,"国土交通省は5月12日に「平成27年3月分の建設工事受注動態統計調査」を公表した。国土交通省総合政策局発表の資料によると、平成27年3月分の建設工事の受注総額は8兆7,972億円で前年同月比2.6％増加となり、6ヵ月連続の増加となった。受注者別に見ると、元請受注高は6兆3,725億円で前年同月比4.8%増と、6ヵ月連続の増加となった。下請受注高は2兆4,248億円で同2.8%減となり、4ヵ月連続の減少となった。元請受注高のうち公共機関からの受注高は2兆1,949億円で、前年同月比8.7%減少し、民間等からの受注高は4 兆1,776億円で、同13.6%増加した。また、工事種類別に見ると、建築工事は、3兆5,904億円で前年同月比13.6%増、6ヵ月連続の増加。土木工事は、2兆2,685億円で同0.9%減、3ヵ月ぶりの減少。機械装置等工事は、5,136億円で同18.7%減、3ヵ月ぶりの減少となった。"
37,2015.05.15,「マテリアライジング展Ⅲ -情報と物質とそのあいだ-」が、5月16日～6月21日に京都市立芸術大学ギャラリー@KCUAで開催される。建築や工学、生命科学、美術などの第一線の研究者が出品し、大きな反響を得てきた同展は、デジタルファブリケーションをめぐる美術、デザインの可能性を探る展覧会で、今回が3回目の開催となる。近年、国内でもレーザーカッターや3D プリンタなどのデジタルファブリケーション技術が注目されているが、その技術体系にある革新性は、芸術表現の世界でも重要な関心を呼びつつある。このような背景から同展は、ポストデジタル時代における人間の創造性のゆくえを領域横断的な視座から多角的に考える内容となっている。入場料は無料。詳しい情報は、マテリアライジング展のWebサイトに掲載されている。
38,2015.05.18,鹿島建設はプロジェクト運営の効率化に向け、今年度、建築工事の全現場にBIMを導入する方針だ。同社は昨年度までに累計で340現場へのBIM導入実績がある。全現場へのBIM導入には、同社が開発した「Global BIM®」が大きく寄与している。Global BIMはクラウド上のBIMデータを世界規模で共有できるシステムで、プロジェクトに関係する社内外複数企業の協調作業とスムーズなデータ連携を可能にする。4月から新たに「Global BIM® ver.2」として運用を開始。同社所有のグラフィソフトジャパンのArchiCADライセンスを協力会社などに貸し出すことにより、同製品を所有していなくてもBIMアプリケーションが使用可能となった。加えて、ArchiCADのアドオンソフトとして、BIM事業提携先である韓国のDoalltech社と共同で「BIM進捗管理システム」、「BIMによる施工計画システム」を開発し、6月に世界同時リリースの予定だ。同社はあらゆる物件を対象に、これらのシステムの適用を推進していくとしている。
39,2015.05.20,大和ハウス工業は、スマートハウスを活用した新たなサービス創出に向けたアプリ開発コンテスト「家CON-2015」を開催する。家CON-2015は、スマートハウスから収集したHEMSデータや家電・設備機器の制御機能と、Web上で公開されている地図情報や気象情報、インターネットに接続できる家庭用ロボットやセンサーなどを組み合わせて、新たな発想のアプリケーションやサービスを開発するコンテストだ。参加者は、特設サイトにて無償提供されるシミュレーターソフトにより、スマートメーターや家電・設備機器がなくてもアプリ開発が可能となっている。同コンテストは、小林茂氏(情報科学芸術大学院大学(IAMAS)教授)などが審査員となり、最優秀賞には賞金100万円が贈呈される。5月18日から応募を受付中で、応募期限は7月21日まで。詳しい情報は、家CON-2015のWebサイトに掲載されている。
40,2015.05.25,一般社団法人 IAI日本は、今年度の第1回セミナーを6月2日(火)に開催する。今年度の第1回のセミナーは、矢吹信喜氏(大阪大学大学院教授) による「BIM/CIMに係るIFCの国際的な状況と日本への期待」をテーマとした講演や、IAI日本の構造分科会による「ST-Bridgeの普及と構造情報連携マップ」の紹介、そして、昨年度末から開始したIFC検定の概要・結果報告と本年度の予定についての紹介などの構成となっている。なお、同セミナーのあとに、「社員総会」が開催されるが、こちらはIAI日本の会員のみが参加可能となっている。セミナーの参加費は無料で、定員は100名。セミナーへの参加には、参加申込フォームからの事前申し込みが必要だ。上記セミナーの詳細や申し込み方法は、IAI日本のWebサイトに掲載されている。
41,2015.05.27,当サイトのクローズアップで紹介し、大きな反響を呼んだ、横浜港大さん橋国際客船ターミナルのデザインを考察するシンポジウムに関連した講演会が、6月5日(金)に開催される。6月6日(土)～7日(日)のイベントでは、Continuous Architectureという建築のアイディアを中心に議論が行われるのに対し、同講演会は横浜港大さん橋という時代を象徴する建築自体にフォーカスを当てるものだ。出演者は、同ターミナル設計者のアレハンドロ・ザエラ・ポロ氏、慶應義塾大学の池田靖史氏、東京大学の小渕祐介氏、清水建設の大橋成基氏で、会場は、東京・京橋の清水建設本社シミズホール。慶應義塾大学と東京大学が主催するもので、参加費は無料となっているが、こちらへの参加には、事前申し込みが必要だ。上記講演会の詳細や申し込み方法は、T_ADSのWebサイトに掲載されている。
42,2015.05.28,一般社団法人日本建設業連合会（以下、日建連）は、「2015 施工CIM事例集」を発行し、Webサイトで公開を開始した。同書は日建連のインフラ再生委員会 技術部会が、同部会の2014年度の成果としてまとめた事例集。内容は、日建連会員企業の各種工事において、工事全体または工事の一部分で3Dモデルを構築し、施工CIM適用を試み、効果や課題の抽出を行った成果を集めたもので、本編ではCIM導入の目的や効果など、各事例を2ページ単位で紹介している。同書は、12社29事例のダムや橋梁などの工事におけるCIM活用事例に加え、維持管理初期モデルの提案として4事例を掲載し、全74ページとなっている。日建連は今後、事例が増加すれば随時追加し改訂を行い、さらに多くの事例を紹介していく方針だ。同書は、日建連のWebサイトから無料でダウンロードが可能となっている。
43,2015.05.29,日刊建設通信新聞社は、セミナー「施工BIMのインパクト」を東京と大阪で開催する。同セミナーでは、建築プロジェクトへのBIM導入が進展する中で、施工段階での活用が急速に広がっていることを受け、日本建設業連合会が刊行した「施工BIMのスタイル」を題材に、施工段階における建設会社と専門工事会社との連携事例から、日本の建築生産システムとBIMの関係性について考察するとしている。内容は、「施工BIMのスタイルに見るBIMの優位性」と題した基調報告や、建設会社編と専門工事会社編からなる事例報告、パネルディスカッションで構成されている。開催日は大阪会場が6月26日(金)、東京会場が6月30日(火)。入場は無料で、両会場とも参加申込フォームからの事前申し込みが必要だ。上記セミナーの申し込みは、建設通信新聞のWebサイトで受け付けている。
44,2015.06.01,BIMを活用したバーチャル設計コンペティション「Build Live Japan 2015（以下、BLJ2015）」は、9月9日から開催されることが決定し、募集要項が公開された。当サイトで既報のとおり、課題敷地は大分県杵築市だ。今回のBLJ2015では、実際に住民へコンペの模様を見せ、コミュニケーションするという新たな手法を用いる点が特徴。主催者のIAI日本によると、参加チームの案が地域に歓迎される優れた作品であれば、現実にその建築物の実現に向けた動きが始まる可能性や、すべての作品は杵築市に引き継がれ、観光振興などで多くの人から鑑賞され続けるなどの7つのメリットやスキルが得られる可能性があるという。プロポーザル登録およびBuild Live登録の受付は6月中旬から開始で、結果は10月に開催されるArchi Future 2015で発表される。BLJ2015の詳しいスケジュールと募集要項は、IAI日本のWebサイトに掲載されている。
45,2015.06.01,東洋熱工業は、3D スキャナとBIMの連携により、高品質化と省力化を図るリニューアル施工を開始した。建物改修の際に、現況図がないことや、図面に最新の状況が反映されていないケースは多い。そのため、建物改修の際に3D スキャナを使用することが増えつつあるが、これまでの3D スキャナで得られた点群データからBIM モデルを作成する作業は、点群データの参考資料への利用や、点群データのトレースに留まっていた。同社では、エリジオンの点群処理ソフト「InfiPoints」により点群から自動で平面や円柱形状を抽出し、NYKシステムズの建築設備BIMソフト「Rebro」に受け渡すことで、BIMモデル作成の省力化と高精度化を可能にした。また、BIMモデルによる施工前検討や各種シミュレーションを行い、施工品質の向上を図る。同社は今後、ソフト間の連携強化を進め、さらなる高品質化と省力化を目指すとしている。
